Site,Brand,ItemCode,URL,Price,Type,Title,Availability,Material,Colour,Size,Model,Description,Condition,Time
subito,damir+doma,320700396,https://www.subito.it/abbigliamento-accessori/damir-doma-falco-hi-top-sneakers-43-pelle-nera-vicenza-320700396.htm,213.45659999999998 (USD),Uomo,Damir Doma Falco hi top sneakers 43 pelle nera,N/A,N/A,N/A,N/A,N/A,"Rare Sneakers Damir Doma ""Falco"" dalla collezione P/E 2017 in nero. 
  
 La scarpe sono realizzate interamente in pelle e si presentano con dei lacci, dettagli in suede, il logo Damir Doma e la suola in gomma. 
 Usate solo 4-5 volte, sono in condizioni praticamente perfette, vedi foto. 
 Taglia 43 (misura soletta interna 29 cm). 
 Spedite con scatola originale. 
  
 Prezzo in negozio 495,00 ? 
  
 Ritiro a mano oppure spedizione con corriere espresso a 10 euro. 
 Nel 2' caso si richiede pagamento con bonifico o paypal. 
 Non esitare a contattarmi per maggiori info.  
  
 Si abbinano al meglio con i migliori stilisti all'avanguardia come Boris Bidjan saberi, Rick Owens, Lost & Found, Ann Demeulemeester, Tom Rebl, Thom Krom, Layer-0, 10sei0otto, a1923, 11bybbs, Maurizio Amadei MA+ e molti altri.",N/A,2020-08-08 08:29:55.308587
subito,damir+doma,343779849,https://www.subito.it/abbigliamento-accessori/maglietta-gosha-rubchinskiy-bari-343779849.htm,67.764 (USD),Polo e t-shirt,Maglietta Gosha Rubchinskiy,N/A,N/A,N/A,N/A,N/A,"Maglietta Gosha Rubchinskiy originale usata poche volte, taglia XL ma va bene anche per chi indossa L 
  
 Off white bape raf simons comme des garcons Watanabe Rick owens undercover valentino ambush margiela number nine damir doma",N/A,2020-08-08 08:29:56.192999
subito,damir+doma,339196177,https://www.subito.it/abbigliamento-accessori/pantaloni-tuta-lotto-bergamo-339196177.htm,79.05799999999999 (USD),Pantaloni,Pantaloni tuta lotto,N/A,N/A,N/A,N/A,N/A,"Vendo bellissimi pantaloni tuta DAMIR DOMA per LOTTO originali ,acquistati su YOOX (114) e messi una volta..color marrone..size XS ma vestono tranquillamente S..per altre foto o info contattatemi.. 
 lotto 
 joggerstutanike",N/A,2020-08-08 08:29:56.868284
subito,damir+doma,334949806,https://www.subito.it/abbigliamento-accessori/occhiali-da-sole-mykita-originali-bergamo-334949806.htm,135.528 (USD),Altro,Occhiali da sole Mykita originali,N/A,N/A,N/A,N/A,N/A,"Occhiale da sole Mykita / Damir Doma 
 Originali 
 Colore ottone l 
 Con custodia e panno (nuovo) 
 Prezzo comprensivo di spedizione",N/A,2020-08-08 08:29:57.673807
subito,damir+doma,330527467,https://www.subito.it/abbigliamento-accessori/maglione-originale-damir-doma-pordenone-330527467.htm,180.704 (USD),Unisex,Maglione originale Damir DOMA,N/A,N/A,N/A,N/A,N/A,"Usato poco, perfette condizioni, maglione Damir Doma, tg. 48. Come da foto",N/A,2020-08-08 08:29:58.558057
subito,damir+doma,329929958,https://www.subito.it/abbigliamento-accessori/mykita-occhiali-da-sole-viterbo-329929958.htm,135.528 (USD),Accessori,Mykita - Occhiali da sole -,N/A,N/A,N/A,N/A,N/A,"Occhiali da sole DAMIR/DOMA Mykita 
  
 Separarsi da un oggetto meraviglioso non è mai facile, ma tenerlo in un cassetto è un insulto a chi l'ha concepito.  
 Per chi conosce la marca, sa con quale pregevole fattura crei gli occhiali, per chi non la conoscesse cosa aspettate a far vostro un modello incredibile? 
 Tenuti come da collezionista. 
 Per altre info non esitate a chiedere!",N/A,2020-08-08 08:29:59.366745
subito,damir+doma,243437391,https://www.subito.it/abbigliamento-accessori/camicia-damir-doma-padova-243437391.htm,67.764 (USD),Altro,Camicia Damir Doma,N/A,N/A,N/A,N/A,N/A,Vendo camicia Damir Doma taglia S 100%cotone!,N/A,2020-08-08 08:30:00.208616
subito,damir+doma,327666644,https://www.subito.it/abbigliamento-accessori/pantalone-nero-damir-doma-silent-firenze-327666644.htm,50.823 (USD),Uomo,Pantalone Nero Damir Doma Silent,N/A,N/A,N/A,N/A,N/A,"Taglia Small; 97% cotton 3% lycra. Indossato pochissime volte, come nuovo. Acquistato nel negozio di LUISAVIAROMA a Firenze.",N/A,2020-08-08 08:30:01.349090
subito,damir+doma,151807050,https://www.subito.it/abbigliamento-accessori/10sei0otto-giacca-di-pelle-tg-42-latina-151807050.htm,112.94 (USD),Donna,10sei0otto - Giacca di pelle - TG 42,N/A,N/A,N/A,N/A,N/A,"Giacca di pelle originale, taglia 42, i buchi che ci sono, sono fatti apposta a laser per conferire al capo un tono vintage luxe.. ho la dichiarazione della casa ""un capo realizzato con una pelle effetto rotture, realizzate a laser"". Accetto Paypal e bonifico bancario o ritiro di persona a Latina. 
 Per gli amanti di: BORIS BIDJAN SABERI, ALEXANDRE PLOKHOV, DAMIR DOMA, DANIEL ANDRESEN, LAYER-0, MA+, MAURIZIO AMADEI, THE VIRIDI-ANNE, RICK OWENS, ZIGGY CHEN",N/A,2020-08-08 08:30:02.397222
depop,abeautiful,depop_raziel,https://www.depop.com/products/raziel-a-beautiful-pair-of-shorts/,145.73720825852783 (USD),N/A,N/A,Yes,N/A,N/A,"29""",N/A,N/A,N/A,2020-08-08 08:38:31.138179
depop,damirdoma,depop_lucyshuff,https://www.depop.com/products/lucyshuff-damir-doma-olive-spica-sweater/,126.72800718132855 (USD),N/A,N/A,Yes,N/A,N/A,L,N/A,N/A,N/A,2020-08-08 08:38:50.194166
Fril,DAMIR DOMA,7836876e9fcca080e71c2a3d9ca6cce9,https://item.fril.jp/7836876e9fcca080e71c2a3d9ca6cce9,4 (YEN),silent by DAMIR DOMA 総柄グラデーションTシャツ カットソー,AVAILABLE,N/A,N/A,S,N/A,N/A,N/A,目立った傷や汚れなし,2020-08-08 08:50:53.853213
Fril,DAMIR DOMA,a0ee20336e365870f2416ccda5e16027,https://item.fril.jp/a0ee20336e365870f2416ccda5e16027,0.055480596037334205 USD,SILENT DAMIR DOMA  JULIUS NILOS ,AVAILABLE,N/A,N/A,S,N/A,N/A,N/A,目立った傷や汚れなし,2020-08-08 08:54:56.481845
Fril,DAMIR DOMA,f0e0136fa9c66cb15676b619dcf6ac62,https://item.fril.jp/f0e0136fa9c66cb15676b619dcf6ac62,0.036987064024889466 USD,けのじ様専用  TERNARY マスクに付きにくい話題のファンデーション,SOLD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 08:55:02.695172
Feelway,damir doma,2953843273,https://www.feelway.com/gv_Other_Brand_2953843273.html,0.018360156654104783 USD,N/A,DAMIR DOMA Wana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:00:47.207468
Feelway,damir doma,4056847575,https://www.feelway.com/gv_Other_Brand_4056847575.html,0.484040493608217 USD,N/A,당일배송 다미르 도마 카고반바지,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:11.481708
Feelway,damir doma,3016641224,https://www.feelway.com/gv_3_1_phillip_lim_3016641224.html,0.16273775216138328 USD,N/A,"중고
 프랑스명품 DAMIR DOMA 다미르 도마 리본 탑",N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:18.993277
Feelway,damir doma,3850648286,https://www.feelway.com/gv_Other_Brand_3850648286.html,0.15021946353358456 USD,N/A,[국내 배송] 사일런드 다미르도마 블랙 빈티지 오버사이즈 긴팔 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:23.677700
Feelway,damir doma,3406778671,https://www.feelway.com/gv_Other_Brand_3406778671.html,0.10431907189832262 USD,N/A,《국내당일》 다미르 도마 Pietari 블랙 스트라이프 울 크롭 팬츠,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:28.351419
Feelway,damir doma,2372216901,https://www.feelway.com/gv_Other_Brand_2372216901.html,0.04923860193600828 USD,N/A,《국내당일》 다미르도마 THAUME 그레이 티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:32.141721
Feelway,damir doma,2566914318,https://www.feelway.com/gv_Other_Brand_2566914318.html,0.04840404936082169 USD,N/A,《국내당일》 다미르도마 TORAL 빈티지 티셔츠 [라이트 인,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:35.959088
Feelway,damir doma,2462040922,https://www.feelway.com/gv_Other_Brand_2462040922.html,0.03588576073302298 USD,N/A,《국내당일》  다미르도마 THEMIOS소프트코튼 반팔티셔츠,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:39.667905
Feelway,damir doma,2470761097,https://www.feelway.com/gv_Other_Brand_2470761097.html,0.1310247543042932 USD,N/A,《국내당일》 다미르도마 FALCO 하이탑 스니커즈,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:43.023836
Feelway,damir doma,4154408247,https://www.feelway.com/gv_Other_Brand_4154408247.html,0.1844361191162344 USD,N/A,18 F/W 다미르 도마 X 로또 윙카 맨투맨  CF1W0104_J180,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2020-08-08 09:01:49.032852
