Brand,ItemCode,URL,Title,Price(CHF),Type,Description,Time
rick+owens,336846575,https://www.subito.it/abbigliamento-accessori/scarpe-rick-owens-brescia-336846575.htm,Scarpe Rick Owens,350 €,Scarpe,"Vendiamo scarpe Rick Owens ORIGINALI usate solo in show room. 
 Vedere suola immacolata. Numero 38. 
 Prezzo originale 940.",2020-07-04 12:32:41.777273
rick+owens,343791243,https://www.subito.it/abbigliamento-accessori/mykita-maison-margiela-venezia-343791243.htm,Mykita maison margiela,110 €,Accessori,"Occhiali in ottimo stato, lenti top zeiss  
  
 Completi di custodia e panno originale 
  
 Boris Bidjan saberi, Rick Owens, Lost & Found Balenciaga Ann Demeulemeester rayban Tom Rebl, Thom Krom, Layer-0, 10sei0otto, a1923, 11bybbs Gucci Maurizio Amadei MA+ persol kuboraum",2020-07-04 12:33:06.288510
rick+owens,343779849,https://www.subito.it/abbigliamento-accessori/maglietta-gosha-rubchinskiy-bari-343779849.htm,Maglietta Gosha Rubchinskiy,60 €,Polo e t-shirt,"Maglietta Gosha Rubchinskiy originale usata poche volte, taglia XL ma va bene anche per chi indossa L 
  
 Off white bape raf simons comme des garcons Watanabe Rick owens undercover valentino ambush margiela number nine damir doma",2020-07-04 12:33:06.939457
rick+owens,343368210,https://www.subito.it/abbigliamento-accessori/scarpe-rick-owens-geobasket-leggi-descrizione-napoli-343368210.htm,Scarpe Rick Owens Geobasket (leggi descrizione),105 €,Scarpe,"Scarpe Rick Owens Geobasket black/white in pelle  
 Condizioni: 9/10 apparte per la scatola che si e rotto in viaggio 
 Numero: 41 
 Prezzo: 105 euro, con spedizione in tal caso diventano 115€, prezzo trattabile 
 Replica 0.9 
 Cellulare: 3917598859 
 Posso fare sia incontro ravvicinato, che spedizione in tutta italia 
 No perditempo",2020-07-04 12:34:05.328480
rick+owens,342933117,https://www.subito.it/abbigliamento-accessori/rick-owens-drkshdw-vegan-ramones-sneakers-nere-41-verona-342933117.htm,Rick owens drkshdw vegan ramones sneakers nere 41,280 €,Scarpe,"AUTENTICHE RICK OWENS DRKSHDW VEGAN RAMONES SNEAKERS NERE  
 N.41 
 USATE IN OTTIMO STATO COME DA FOTO 
 NUOVE VALGONO OLTRE 600 EURO",2020-07-04 12:35:16.814835
rick+owens,342729067,https://www.subito.it/abbigliamento-accessori/rick-owens-modena-342729067.htm,Rick Owens,200 €,Scarpe,"Scarpe Rick Owens numero 41/42  
 Molto usate ma considerato il costo prendendole nuove, il prezzo è poco trattabile",2020-07-04 12:35:28.621009
rick+owens,342551772,https://www.subito.it/abbigliamento-accessori/rick-owens-napoli-342551772.htm,Rick owens,220 €,N/A,"Rick owens 41 
 Ovviamente originali  
 Le scarpe sono come nuove hanno solo bisogno di una pulita alla gomma 
 Prezzo di listino più di 700€ 
 No perditempo",2020-07-04 12:35:29.458734
rick+owens,342541354,https://www.subito.it/abbigliamento-accessori/scarpe-rick-owens-drkshdw-black-leggi-descrizione-napoli-342541354.htm,Scarpe Rick Owens Drkshdw black (leggi descrizione,60 €,Unisex,"Scarpe Rick Owens Drkshdw black  
 Numero: 41 
 Condizioni: come nuove 
 Prezzo: 60 euro...invece con spedizione diventano 72 euro 
 Replica 0.9 
 Cellulare: 3917598859 
 Posso sia spedire che fare incontri ravvicinati",2020-07-04 12:35:30.118143
rick+owens,342485075,https://www.subito.it/abbigliamento-accessori/rick-owens-napoli-342485075.htm,Rick owens,180 €,Scarpe,Vendo rock owens usate poco numero 44 originali,2020-07-04 12:35:30.709521
rick+owens,341669010,https://www.subito.it/abbigliamento-accessori/rick-owens-drkshdw-isernia-341669010.htm,Rick owens DRKSHDW,250 €,Uomo,"Vendo per inutilizzo, usate poco. 
 Non dispongo più della scatola",2020-07-04 12:36:53.546578
rick+owens,341658896,https://www.subito.it/abbigliamento-accessori/sneakers-rick-owens-geobasket-40-milano-341658896.htm,Sneakers Rick Owens Geobasket 40,300 €,Unisex,"Geobasket in colorazione Military Green  
 Condizione 9/10 
 Complete di scatola, extra lacci e tote bag 
 Spedizione e tasse a carico del compratore",2020-07-04 12:37:38.129520
rick+owens,341595725,https://www.subito.it/abbigliamento-accessori/scarpe-rick-owens-modello-darkshadow-reggio-emilia-341595725.htm,Scarpe rick owens modello darkshadow,300 €,N/A,Ciao! Vendo scarpe originali di Rick Owens DRKSHDW numero 43 per inutilizzo. Le ho indossate per 2-3 mesi e basta. Una volta pulita bene la suola le scarpe sono completamente nuove.,2020-07-04 12:37:58.101221
rick+owens,341476296,https://www.subito.it/abbigliamento-accessori/rick-owens-x-adidas-runner-napoli-341476296.htm,Rick Owens X Adidas Runner,140 €,Uomo,"Vendo Rick Owens in collaborazione con Adidas mod. Runner, taglia 44.5 ma calza adeguatamente per info cont.",2020-07-04 12:38:00.088277
rick+owens,341109286,https://www.subito.it/abbigliamento-accessori/rick-owens-napoli-341109286.htm,Rick owens,200 €,Scarpe,"Vendo rick owens 44 in buone condizioni. 
 Originali 
 Per foto o info contattatemi su whatsapp",2020-07-04 12:38:01.134712
rick+owens,341072374,https://www.subito.it/abbigliamento-accessori/rick-owens-per-adidas-napoli-341072374.htm,Rick Owens per adidas,300 €,Uomo,"Vendo Rick Owens per adidas nuove, mai usate. Regalo non gradito. 44 la taglia , originali 100% comprese di scatolo che ne accerta l'autenticità. Maggiori informazioni in privato.",2020-07-04 12:38:02.142690
rick+owens,340544582,https://www.subito.it/sport/rick-owens-joe-basket-napoli-340544582.htm,Rick owens joe basket,500 €,Basket,"Vendo Rick Owens-modello Joe basket.  
 Numero 37, indossate solo due volte, in ottime condizioni. Munite di scatola e lacci di ricambio nuovi, mai utilizzati.  
 - prezzo di listino ?905  
 -Rivendo a ?500",2020-07-04 12:38:03.158945
rick+owens,340358043,https://www.subito.it/abbigliamento-accessori/giacca-da-uomo-in-pelle-nera-rick-owens-reggio-emilia-340358043.htm,Giacca da uomo in pelle nera Rick Owens,550 €,Giacche e giubbotti,"Giacca da uomo in pelle nera  
 Rick Owens  
 Taglia 50  
 Tasche ai lati e tasca interna con cerniera  
 leggeri difetti da sfregamento sui polsi ( ma impercettibili indossata ) dovuti all'uso.  
 Buone condizioni nel complesso, usata poco e con cura 
 Misure 
 Spalle 42cm 
 Petto 51cm 
 Lunghezza 68cm 
 Fondo 46cm",2020-07-04 12:38:04.105290
rick+owens,340341845,https://www.subito.it/abbigliamento-accessori/t-shirt-rick-owens-originale-modena-340341845.htm,T-shirt Rick Owens originale,180 €,Polo e t-shirt,"T-shirt Level T Kembra Print 
 Rick Owens 
 Nuova con cartellino 
 TG XS",2020-07-04 12:38:06.110621
rick+owens,340299738,https://www.subito.it/abbigliamento-accessori/portafoglio-in-pelle-rick-owens-originale-modena-340299738.htm,Portafoglio in pelle Rick Owens originale,200 €,Accessori,"Portafoglio in pelle 
 Rick Owens 
 Neckwallet 
 Colore Nero 
 Larghezza: 16 cm 
 Altezza: 11,5 
 Nuovo con scatola e cartellino",2020-07-04 12:38:07.981261
rick+owens,340295251,https://www.subito.it/abbigliamento-accessori/portachiavi-in-pelle-rick-owens-originale-modena-340295251.htm,Portachiavi in pelle Rick Owens originale,150 €,Unisex,"Portachiavi in pelle con moschettone 
 Rick Owens 
 Larghezza: 3,5 cm 
 Altezza: 16 cm 
 Nuovo con scatola e cartellino",2020-07-04 12:38:09.890858
